protocol,event,owner,first_liq
moonwell,Aug-2024,0x81ae3cc921ff120d3c8baac0ef7a313c6244db03,2024-08-04T23:35:51.000Z
moonwell,Aug-2024,0xc3ac69f1b212515cbe07dd942ed162548eed631c,2024-08-04T23:19:07.000Z
moonwell,Aug-2024,0x9daf2d9433f04d09e5110260251cbb1bd8dbafbd,2024-08-05T03:55:51.000Z
moonwell,Aug-2024,0x76d573fe361fe6fcc3e5fea3d7b40393f2757ea2,2024-08-07T22:14:55.000Z
moonwell,Aug-2024,0xfa826ff8ada02e5ddefcc72a0360dc5c94caef4c,2024-08-05T07:32:51.000Z
moonwell,Aug-2024,0x8b065132b4537bf3d9ee23b930c7855417d91ade,2024-08-05T01:16:19.000Z
moonwell,Aug-2024,0x4c1a699166cd60473040d0618c47ad82251b9d0f,2024-08-05T01:15:51.000Z
moonwell,Aug-2024,0x1285eb2ed45c33bafbcb02e096b1d1e703e8d613,2024-08-07T08:23:37.000Z
moonwell,Aug-2024,0xe6a1e9ff4a71205cee47b0bf4d970a1d77dedb75,2024-08-06T21:34:37.000Z
moonwell,Aug-2024,0x8cee1a66eb299a4fd414a949095d85ec961532da,2024-08-04T17:11:37.000Z
moonwell,Aug-2024,0x0c0d430db847a135e9055b89c576fdfb2c8d1971,2024-08-04T21:51:43.000Z
moonwell,Aug-2024,0x4da0d78d3f24f78563896fdb5b786d0ccf1f6156,2024-08-05T10:26:31.000Z
moonwell,Aug-2024,0x295a7fca32c493a00fca5d7fd6161249b2789d42,2024-08-04T01:19:35.000Z
moonwell,Aug-2024,0x39fe1beef05ded01d35c2b97e3fb6939d4f0aee3,2024-08-05T00:56:27.000Z
moonwell,Aug-2024,0x53bc53579e4c0c1a1bda45f80b32aadf03e53ee0,2024-08-06T22:06:09.000Z
moonwell,Aug-2024,0xe95bf14f05e7bd90975d6bc9ed266cb67cbe021d,2024-08-05T06:55:49.000Z
moonwell,Aug-2024,0x6a79fda6d6395b8411bc4bff2049776bc47c877e,2024-08-04T17:11:37.000Z
moonwell,Aug-2024,0x946541a0ee738ddcd11accccb601284f124910ef,2024-08-04T23:49:11.000Z
moonwell,Aug-2024,0x9d3dd8e052651b8e6380ba5c6920e40278f96226,2024-08-04T17:49:45.000Z
moonwell,Aug-2024,0x31588e276f95fb817a20acf4bd729ac00ff2452d,2024-08-06T21:43:09.000Z
moonwell,Aug-2024,0xed97e5a314cab47fd2e151cbcf1c2d45d49e92d1,2024-08-06T03:49:21.000Z
moonwell,Aug-2024,0x4240112721c6c434e67d413341b23cf29dbaf6ab,2024-08-04T17:10:41.000Z
moonwell,Aug-2024,0x9a4cdac6e0574d60a287c61b875b05250084ba7e,2024-08-04T17:44:41.000Z
moonwell,Aug-2024,0x52156828f819d29cf85175dbf8beb505e7c05806,2024-08-04T01:14:51.000Z
moonwell,Aug-2024,0x75b55bc8edffe84cbc6c1d967805457d2d02c240,2024-08-04T00:05:53.000Z
moonwell,Aug-2024,0x65c65ceb562535bdc275c61cb46aff38a062831b,2024-08-05T00:36:51.000Z
moonwell,Aug-2024,0x1e20eb52a9a29e72e16d2fd3fdd6d5b531ac6add,2024-08-06T03:59:51.000Z
moonwell,Aug-2024,0x91635486d80a8779af073b0741b2106a1c9dca37,2024-08-05T03:52:43.000Z
moonwell,Aug-2024,0x375f62b1852ba0ff5844036e008b9ed01d173188,2024-08-04T01:40:47.000Z
moonwell,Aug-2024,0x851abe5b311dfb90eacf3dcdceb24257f5b29e1f,2024-08-05T06:36:39.000Z
moonwell,Aug-2024,0x591788428b39b07577f89a6ac88684a9c0e2ba53,2024-08-04T21:41:47.000Z
moonwell,Aug-2024,0xd7e9dae92a8ea6783ddc675a445395eb6f2ac58d,2024-08-05T07:32:55.000Z
moonwell,Aug-2024,0xef6f1bb4a130ecacead40a10b2f6149fcd6fbec7,2024-08-04T00:53:53.000Z
moonwell,Aug-2024,0xf38729cbaa4353089dc1093ecabc1c4cfef0bf15,2024-08-04T20:52:57.000Z
moonwell,Aug-2024,0xd6ccad20d688739349f0e4f3ae2ec69bc5039354,2024-08-05T01:07:05.000Z
moonwell,Aug-2024,0x4b97758e295f4905eb7e1cee2fd77341c374dd6d,2024-08-06T05:34:51.000Z
