event,owner,liquidated,first_liq,block_label,block_time,health_factor
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h00,,0.7956
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h06,,0.7971
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h12,,0.7974
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h18,,0.738
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h24,,0.7359
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h30,,0.632
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h36,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h42,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h48,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h54,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h60,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h66,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h72,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h78,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h84,,
aave-aug24,0x5d0cc6af7ab57458f53a0dfdd9c17d0213eeec4e,true,2024-08-05T09:25:01.000Z,h90,,
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h00,,0.9794
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h06,,0.9809
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h12,,1.0559
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h18,,1.0005
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h24,,0.9985
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h30,,0.8948
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h36,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h42,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h48,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h54,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h60,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h66,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h72,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h78,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h84,,0.9829
aave-aug24,0x02699223ce2ec5de8e2b8e326847e02b07e5a619,true,2024-08-04T08:58:47.000Z,h90,,0.9829
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h00,,1.177
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h06,,1.1792
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h12,,1.1795
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h18,,1.0917
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h24,,1.0886
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h30,,0.9349
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h36,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h42,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h48,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h54,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h60,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h66,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h72,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h78,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h84,,
aave-aug24,0x0bfbd758fd22eebee66aabb27d850666222e4b10,true,2024-08-05T09:25:41.000Z,h90,,
