event,owner,liquidated,first_liq,block_label,block_time,health_factor
ftx,0x1c631824b0551fd0540a1f198c893b379d5cf3c3,true,2022-11-09T23:09:35.000Z,d0,2022-11-08T12:00:00Z,1.3465
ftx,0x1c631824b0551fd0540a1f198c893b379d5cf3c3,true,2022-11-09T23:09:35.000Z,d1,2022-11-09T12:00:00Z,1.1093
ftx,0x1c631824b0551fd0540a1f198c893b379d5cf3c3,true,2022-11-09T23:09:35.000Z,d2,2022-11-10T12:00:00Z,1.5683
ftx,0x1c631824b0551fd0540a1f198c893b379d5cf3c3,true,2022-11-09T23:09:35.000Z,d3,2022-11-11T12:00:00Z,1.6664
ftx,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-11-09T21:28:59.000Z,d0,2022-11-08T12:00:00Z,1.3027
ftx,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-11-09T21:28:59.000Z,d1,2022-11-09T12:00:00Z,1.0599
ftx,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-11-09T21:28:59.000Z,d2,2022-11-10T12:00:00Z,1.306
ftx,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-11-09T21:28:59.000Z,d3,2022-11-11T12:00:00Z,1.4084
ftx,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,true,2022-11-07T07:57:59.000Z,d0,2022-11-08T12:00:00Z,1.0451
ftx,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,true,2022-11-07T07:57:59.000Z,d1,2022-11-09T12:00:00Z,1.0139
ftx,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,true,2022-11-07T07:57:59.000Z,d2,2022-11-10T12:00:00Z,1.0527
ftx,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,true,2022-11-07T07:57:59.000Z,d3,2022-11-11T12:00:00Z,1.0907
ftx,0x4196c40de33062ce03070f058922baa99b28157b,true,2022-11-09T23:09:11.000Z,d0,2022-11-08T12:00:00Z,1.5178
ftx,0x4196c40de33062ce03070f058922baa99b28157b,true,2022-11-09T23:09:11.000Z,d1,2022-11-09T12:00:00Z,1.0951
ftx,0x4196c40de33062ce03070f058922baa99b28157b,true,2022-11-09T23:09:11.000Z,d2,2022-11-10T12:00:00Z,1.1593
ftx,0x4196c40de33062ce03070f058922baa99b28157b,true,2022-11-09T23:09:11.000Z,d3,2022-11-11T12:00:00Z,1.3362
ftx,0x2d491a089fa87393480185312f01ec775d8bcab8,true,2022-11-09T21:45:23.000Z,d0,2022-11-08T12:00:00Z,1.2047
ftx,0x2d491a089fa87393480185312f01ec775d8bcab8,true,2022-11-09T21:45:23.000Z,d1,2022-11-09T12:00:00Z,1.1001
ftx,0x2d491a089fa87393480185312f01ec775d8bcab8,true,2022-11-09T21:45:23.000Z,d2,2022-11-10T12:00:00Z,1.1511
ftx,0x2d491a089fa87393480185312f01ec775d8bcab8,true,2022-11-09T21:45:23.000Z,d3,2022-11-11T12:00:00Z,1.2611
ftx,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,true,2022-11-09T08:35:11.000Z,d0,2022-11-08T12:00:00Z,1.1696
ftx,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,true,2022-11-09T08:35:11.000Z,d1,2022-11-09T12:00:00Z,1.1353
ftx,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,true,2022-11-09T08:35:11.000Z,d2,2022-11-10T12:00:00Z,1.1009
ftx,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,true,2022-11-09T08:35:11.000Z,d3,2022-11-11T12:00:00Z,1.199
ftx,0x42b23bb838525d458f2b8109219ef45d229067b7,true,2022-11-09T09:56:35.000Z,d0,2022-11-08T12:00:00Z,1.2249
ftx,0x42b23bb838525d458f2b8109219ef45d229067b7,true,2022-11-09T09:56:35.000Z,d1,2022-11-09T12:00:00Z,1.0969
ftx,0x42b23bb838525d458f2b8109219ef45d229067b7,true,2022-11-09T09:56:35.000Z,d2,2022-11-10T12:00:00Z,1.3692
ftx,0x42b23bb838525d458f2b8109219ef45d229067b7,true,2022-11-09T09:56:35.000Z,d3,2022-11-11T12:00:00Z,1.4696
ftx,0xf6ab024f5edb622b868bc259740c9e624083f942,true,2022-11-08T04:01:35.000Z,d0,2022-11-08T12:00:00Z,1.0765
ftx,0xf6ab024f5edb622b868bc259740c9e624083f942,true,2022-11-08T04:01:35.000Z,d1,2022-11-09T12:00:00Z,1.0479
