event,owner,liquidated,first_liq,block_label,block_time,health_factor
june,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,true,2022-06-14T01:55:42.000Z,d0,2022-06-08T12:00:00Z,1.4948
june,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,true,2022-06-14T01:55:42.000Z,d1,2022-06-13T12:00:00Z,1.0439
june,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,true,2022-06-14T01:55:42.000Z,d2,2022-06-14T03:00:00Z,1.128
june,0x4093fbe60ab50ab79a5bd32fa2adec255372f80e,true,2022-06-14T01:55:42.000Z,d3,2022-06-18T20:00:00Z,1.2067
june,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-06-12T11:03:52.000Z,d0,2022-06-08T12:00:00Z,1.0102
june,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-06-12T11:03:52.000Z,d1,2022-06-13T12:00:00Z,0.5985
june,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-06-12T11:03:52.000Z,d2,2022-06-14T03:00:00Z,0.5535
june,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-06-12T11:03:52.000Z,d3,2022-06-18T20:00:00Z,0.5395
june,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-06-11T09:02:22.000Z,d0,2022-06-08T12:00:00Z,1.1138
june,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-06-11T09:02:22.000Z,d1,2022-06-13T12:00:00Z,1.0777
june,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-06-11T09:02:22.000Z,d2,2022-06-14T03:00:00Z,1.1327
june,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-06-11T09:02:22.000Z,d3,2022-06-18T20:00:00Z,1.223
june,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-06-10T16:33:49.000Z,d0,2022-06-08T12:00:00Z,1.0425
june,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-06-10T16:33:49.000Z,d1,2022-06-13T12:00:00Z,0.8015
june,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-06-10T16:33:49.000Z,d2,2022-06-14T03:00:00Z,0.8312
june,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,true,2022-06-10T16:33:49.000Z,d3,2022-06-18T20:00:00Z,0.8135
june,0x525db04853486c32c1df5b1daf2dffb9ba7c2517,true,2022-06-13T08:49:10.000Z,d0,2022-06-08T12:00:00Z,1.158
june,0x525db04853486c32c1df5b1daf2dffb9ba7c2517,true,2022-06-13T08:49:10.000Z,d1,2022-06-13T12:00:00Z,1.2486
june,0x525db04853486c32c1df5b1daf2dffb9ba7c2517,true,2022-06-13T08:49:10.000Z,d2,2022-06-14T03:00:00Z,1.2933
june,0x525db04853486c32c1df5b1daf2dffb9ba7c2517,true,2022-06-13T08:49:10.000Z,d3,2022-06-18T20:00:00Z,1.4223
june,0x83e3e8c045db446203d967e092172da7185e4bd8,true,2022-06-13T08:50:56.000Z,d0,2022-06-08T12:00:00Z,1.2039
june,0x83e3e8c045db446203d967e092172da7185e4bd8,true,2022-06-13T08:50:56.000Z,d1,2022-06-13T12:00:00Z,1.0463
june,0x83e3e8c045db446203d967e092172da7185e4bd8,true,2022-06-13T08:50:56.000Z,d2,2022-06-14T03:00:00Z,1.0901
june,0x83e3e8c045db446203d967e092172da7185e4bd8,true,2022-06-13T08:50:56.000Z,d3,2022-06-18T20:00:00Z,1.3817
june,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-06-11T11:13:07.000Z,d0,2022-06-08T12:00:00Z,1.0852
june,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-06-11T11:13:07.000Z,d1,2022-06-13T12:00:00Z,1.0845
june,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-06-11T11:13:07.000Z,d2,2022-06-14T03:00:00Z,1.1373
june,0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,true,2022-06-11T11:13:07.000Z,d3,2022-06-18T20:00:00Z,1.2224
june,0x22866c5c7f2b5475cff41465c53aa813b4c22b13,true,2022-06-11T14:56:28.000Z,d0,2022-06-08T12:00:00Z,1.096
june,0x22866c5c7f2b5475cff41465c53aa813b4c22b13,true,2022-06-11T14:56:28.000Z,d1,2022-06-13T12:00:00Z,1.0156
june,0x22866c5c7f2b5475cff41465c53aa813b4c22b13,true,2022-06-11T14:56:28.000Z,d2,2022-06-14T03:00:00Z,1.0693
june,0x22866c5c7f2b5475cff41465c53aa813b4c22b13,true,2022-06-11T14:56:28.000Z,d3,2022-06-18T20:00:00Z,1.1046
june,0x499cab25994e3e7ba837630547c7a579b2397551,true,2022-06-13T03:07:47.000Z,d0,2022-06-08T12:00:00Z,1.2511
june,0x499cab25994e3e7ba837630547c7a579b2397551,true,2022-06-13T03:07:47.000Z,d1,2022-06-13T12:00:00Z,1.2623
june,0x499cab25994e3e7ba837630547c7a579b2397551,true,2022-06-13T03:07:47.000Z,d2,2022-06-14T03:00:00Z,1.301
june,0x499cab25994e3e7ba837630547c7a579b2397551,true,2022-06-13T03:07:47.000Z,d3,2022-06-18T20:00:00Z,1.3232
june,0xbce3e29641b2083716e023f0bb56635d3062c8c3,true,2022-06-15T09:28:25.000Z,d0,2022-06-08T12:00:00Z,1.2881
june,0xbce3e29641b2083716e023f0bb56635d3062c8c3,true,2022-06-15T09:28:25.000Z,d1,2022-06-13T12:00:00Z,1.0826
june,0xbce3e29641b2083716e023f0bb56635d3062c8c3,true,2022-06-15T09:28:25.000Z,d2,2022-06-14T03:00:00Z,1.1299
