event,owner,liquidated,first_liq,block_label,block_time,health_factor
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h00,2023-03-09T00:00:00Z,1.0743
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h06,2023-03-09T06:00:00Z,1.0743
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h12,2023-03-09T12:00:00Z,1.0743
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h18,2023-03-09T18:00:00Z,1.0743
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h24,2023-03-10T00:00:00Z,1.0709
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h30,2023-03-10T06:00:00Z,1.0719
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h36,2023-03-10T12:00:00Z,1.0713
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h42,2023-03-10T18:00:00Z,1.0727
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h48,2023-03-11T00:00:00Z,1.0618
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h54,2023-03-11T06:00:00Z,1.0785
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h60,2023-03-11T12:00:00Z,1.0476
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h66,2023-03-11T18:00:00Z,1.1192
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h72,2023-03-12T00:00:00Z,1.1568
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h78,2023-03-12T06:00:00Z,1.1452
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h84,2023-03-12T12:00:00Z,1.1328
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h90,2023-03-12T18:00:00Z,1.1511
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h96,2023-03-13T00:00:00Z,1.178
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h102,2023-03-13T06:00:00Z,1.1793
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h108,2023-03-13T12:00:00Z,1.19
usdc,0x0a6077c72e2d68d820906ba577783de7654fca54,true,2023-03-11T05:45:11.000Z,h114,2023-03-13T18:00:00Z,
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h00,2023-03-09T00:00:00Z,1.2262
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h06,2023-03-09T06:00:00Z,1.2262
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h12,2023-03-09T12:00:00Z,1.2262
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h18,2023-03-09T18:00:00Z,1.2262
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h24,2023-03-10T00:00:00Z,1.2222
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h30,2023-03-10T06:00:00Z,1.2235
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h36,2023-03-10T12:00:00Z,1.2228
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h42,2023-03-10T18:00:00Z,1.2244
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h48,2023-03-11T00:00:00Z,1.2119
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h54,2023-03-11T06:00:00Z,1.0562
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h60,2023-03-11T12:00:00Z,1.109
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h66,2023-03-11T18:00:00Z,1.1439
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h72,2023-03-12T00:00:00Z,1.1823
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h78,2023-03-12T06:00:00Z,1.1704
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h84,2023-03-12T12:00:00Z,1.1578
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h90,2023-03-12T18:00:00Z,1.1765
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h96,2023-03-13T00:00:00Z,1.204
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h102,2023-03-13T06:00:00Z,1.2053
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h108,2023-03-13T12:00:00Z,1.2163
usdc,0xc5834255e23a2207916beccda65f17c8a58fef1d,true,2023-03-11T03:51:35.000Z,h114,2023-03-13T18:00:00Z,1.2183
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h00,2023-03-09T00:00:00Z,1.0727
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h06,2023-03-09T06:00:00Z,1.0727
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h12,2023-03-09T12:00:00Z,1.0727
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h18,2023-03-09T18:00:00Z,1.0727
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h24,2023-03-10T00:00:00Z,1.0692
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h30,2023-03-10T06:00:00Z,1.0703
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h36,2023-03-10T12:00:00Z,1.0697
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h42,2023-03-10T18:00:00Z,1.0711
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h48,2023-03-11T00:00:00Z,1.0602
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h54,2023-03-11T06:00:00Z,1.0741
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h60,2023-03-11T12:00:00Z,1.0433
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h66,2023-03-11T18:00:00Z,1.0761
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h72,2023-03-12T00:00:00Z,1.1123
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h78,2023-03-12T06:00:00Z,1.1011
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h84,2023-03-12T12:00:00Z,1.0892
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h90,2023-03-12T18:00:00Z,1.1068
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h96,2023-03-13T00:00:00Z,1.1326
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h102,2023-03-13T06:00:00Z,1.1339
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h108,2023-03-13T12:00:00Z,1.1442
usdc,0x1dd170c800c55831a5eacee402109cb66c3db0a4,true,2023-03-11T05:45:11.000Z,h114,2023-03-13T18:00:00Z,1.1461
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h00,2023-03-09T00:00:00Z,1.0757
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h06,2023-03-09T06:00:00Z,1.0757
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h12,2023-03-09T12:00:00Z,1.0745
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h18,2023-03-09T18:00:00Z,1.0745
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h24,2023-03-10T00:00:00Z,1.0712
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h30,2023-03-10T06:00:00Z,1.0723
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h36,2023-03-10T12:00:00Z,1.0712
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h42,2023-03-10T18:00:00Z,1.0731
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h48,2023-03-11T00:00:00Z,1.0634
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h54,2023-03-11T06:00:00Z,1.003
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h60,2023-03-11T12:00:00Z,1.0417
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h66,2023-03-11T18:00:00Z,1.1053
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h72,2023-03-12T00:00:00Z,1.1367
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h78,2023-03-12T06:00:00Z,1.1282
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h84,2023-03-12T12:00:00Z,1.1193
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h90,2023-03-12T18:00:00Z,1.135
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h96,2023-03-13T00:00:00Z,1.1564
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h102,2023-03-13T06:00:00Z,1.1561
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h108,2023-03-13T12:00:00Z,1.164
usdc,0x22416df834fa69a57f366bdecc42b21eb38e5d2e,true,2023-03-11T06:30:35.000Z,h114,2023-03-13T18:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h00,2023-03-09T00:00:00Z,1.0391
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h06,2023-03-09T06:00:00Z,1.039
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h12,2023-03-09T12:00:00Z,1.039
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h18,2023-03-09T18:00:00Z,1.0389
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h24,2023-03-10T00:00:00Z,1.0355
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h30,2023-03-10T06:00:00Z,1.0365
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h36,2023-03-10T12:00:00Z,1.0358
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h42,2023-03-10T18:00:00Z,1.0371
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h48,2023-03-11T00:00:00Z,1.0265
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h54,2023-03-11T06:00:00Z,1.0424
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h60,2023-03-11T12:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h66,2023-03-11T18:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h72,2023-03-12T00:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h78,2023-03-12T06:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h84,2023-03-12T12:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h90,2023-03-12T18:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h96,2023-03-13T00:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h102,2023-03-13T06:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h108,2023-03-13T12:00:00Z,
usdc,0xcbbd0053b3750264e16f9d7116bd0a865f94cf9e,true,2023-03-11T03:35:35.000Z,h114,2023-03-13T18:00:00Z,
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h00,2023-03-09T00:00:00Z,1.0924
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h06,2023-03-09T06:00:00Z,1.0924
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h12,2023-03-09T12:00:00Z,1.0923
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h18,2023-03-09T18:00:00Z,1.0923
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h24,2023-03-10T00:00:00Z,1.0888
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h30,2023-03-10T06:00:00Z,1.0899
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h36,2023-03-10T12:00:00Z,1.0893
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h42,2023-03-10T18:00:00Z,1.0907
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h48,2023-03-11T00:00:00Z,1.0796
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h54,2023-03-11T06:00:00Z,1.0131
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h60,2023-03-11T12:00:00Z,1.0552
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h66,2023-03-11T18:00:00Z,1.0884
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h72,2023-03-12T00:00:00Z,1.125
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h78,2023-03-12T06:00:00Z,1.1137
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h84,2023-03-12T12:00:00Z,1.1016
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h90,2023-03-12T18:00:00Z,1.1194
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h96,2023-03-13T00:00:00Z,1.1456
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h102,2023-03-13T06:00:00Z,1.1468
usdc,0x783d84d175bcc6312520ae45daa15c7eaab75b28,true,2023-03-11T06:44:35.000Z,h108,2023-03-13T12:00:00Z,1.1573
