event,owner,liquidated,first_liq,block_label,block_time,health_factor
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h00,2022-05-09T00:00:00Z,1.0384
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h06,2022-05-09T06:00:00Z,1.0141
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h12,2022-05-09T12:00:00Z,1.0247
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h18,2022-05-09T18:00:00Z,1.0216
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h24,2022-05-10T00:00:00Z,1.0356
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h30,2022-05-10T06:00:00Z,1.065
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h36,2022-05-10T12:00:00Z,1.0654
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h42,2022-05-10T18:00:00Z,1.0609
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h48,2022-05-11T00:00:00Z,1.0416
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h54,2022-05-11T06:00:00Z,1.0614
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h60,2022-05-11T12:00:00Z,1.0788
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h66,2022-05-11T18:00:00Z,1.0045
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h72,2022-05-12T00:00:00Z,1.0478
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h78,2022-05-12T06:00:00Z,1.0145
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h84,2022-05-12T12:00:00Z,1.0858
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h90,2022-05-12T18:00:00Z,1.0065
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h96,2022-05-13T00:00:00Z,
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h102,2022-05-13T06:00:00Z,
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h108,2022-05-13T12:00:00Z,
ust,0xa25a9b7c73158b3b34215925796ce6aa8100c13a,true,2022-05-08T17:10:21.000Z,h114,2022-05-13T18:00:00Z,
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h00,2022-05-09T00:00:00Z,1.0238
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h06,2022-05-09T06:00:00Z,1.0278
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h12,2022-05-09T12:00:00Z,1.0152
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h18,2022-05-09T18:00:00Z,1.0116
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h24,2022-05-10T00:00:00Z,1.0053
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h30,2022-05-10T06:00:00Z,1.0827
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h36,2022-05-10T12:00:00Z,1.0831
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h42,2022-05-10T18:00:00Z,1.0818
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h48,2022-05-11T00:00:00Z,1.0593
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h54,2022-05-11T06:00:00Z,1.0813
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h60,2022-05-11T12:00:00Z,1.0926
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h66,2022-05-11T18:00:00Z,0.9819
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h72,2022-05-12T00:00:00Z,0.9662
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h78,2022-05-12T06:00:00Z,0.8837
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h84,2022-05-12T12:00:00Z,0.9455
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h90,2022-05-12T18:00:00Z,0.951
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h96,2022-05-13T00:00:00Z,0.9579
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h102,2022-05-13T06:00:00Z,1.0356
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h108,2022-05-13T12:00:00Z,1.0243
ust,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,true,2022-05-09T02:39:53.000Z,h114,2022-05-13T18:00:00Z,1.0079
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h00,2022-05-09T00:00:00Z,1.2099
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h06,2022-05-09T06:00:00Z,1.1814
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h12,2022-05-09T12:00:00Z,1.1517
ust,0x70e1b384fe335222529f5e685b371ff2e658cbd7,true,2022-05-11T20:57:04.000Z,h18,2022-05-09T18:00:00Z,1.1127
