hour,weth
2024-08-03T00:00:00.000Z,2989.6
2024-08-03T01:00:00.000Z,2944.53
2024-08-03T02:00:00.000Z,2962.5
2024-08-03T03:00:00.000Z,2970.79
2024-08-03T04:00:00.000Z,2978.05
2024-08-03T05:00:00.000Z,2968.16
2024-08-03T06:00:00.000Z,2980.57
2024-08-03T07:00:00.000Z,2989.65
2024-08-03T08:00:00.000Z,2982.74
2024-08-03T09:00:00.000Z,2983.68
2024-08-03T10:00:00.000Z,2990.59
2024-08-03T11:00:00.000Z,2995.37
2024-08-03T12:00:00.000Z,3005.28
2024-08-03T13:00:00.000Z,3007.24
2024-08-03T14:00:00.000Z,3008.77
2024-08-03T15:00:00.000Z,2989.46
2024-08-03T16:00:00.000Z,2942.57
2024-08-03T17:00:00.000Z,2919.98
2024-08-03T18:00:00.000Z,2915.36
2024-08-03T19:00:00.000Z,2909.26
2024-08-03T20:00:00.000Z,2909.04
2024-08-03T21:00:00.000Z,2901.5
2024-08-03T22:00:00.000Z,2913.37
2024-08-03T23:00:00.000Z,2909.43
2024-08-04T00:00:00.000Z,2911.31
2024-08-04T01:00:00.000Z,2902.82
2024-08-04T02:00:00.000Z,2917.86
2024-08-04T03:00:00.000Z,2916.19
2024-08-04T04:00:00.000Z,2916.5
2024-08-04T05:00:00.000Z,2911.92
2024-08-04T06:00:00.000Z,2917.95
2024-08-04T07:00:00.000Z,2911.02
2024-08-04T08:00:00.000Z,2900.67
2024-08-04T09:00:00.000Z,2912.08
2024-08-04T10:00:00.000Z,2913.19
2024-08-04T11:00:00.000Z,2917.94
2024-08-04T12:00:00.000Z,2919.46
2024-08-04T13:00:00.000Z,2920.51
2024-08-04T14:00:00.000Z,2890.88
2024-08-04T15:00:00.000Z,2849.57
2024-08-04T16:00:00.000Z,2828.48
2024-08-04T17:00:00.000Z,2757.87
2024-08-04T18:00:00.000Z,2705.74
2024-08-04T19:00:00.000Z,2745.52
2024-08-04T20:00:00.000Z,2757.32
2024-08-04T21:00:00.000Z,2746.37
2024-08-04T22:00:00.000Z,2738.44
2024-08-04T23:00:00.000Z,2712.98
2024-08-05T00:00:00.000Z,2656.6
2024-08-05T01:00:00.000Z,2384.71
2024-08-05T02:00:00.000Z,2302.63
2024-08-05T03:00:00.000Z,2318.36
2024-08-05T04:00:00.000Z,2350.87
2024-08-05T05:00:00.000Z,2329.19
2024-08-05T06:00:00.000Z,2256.39
2024-08-05T07:00:00.000Z,2320.14
2024-08-05T08:00:00.000Z,2335.56
2024-08-05T09:00:00.000Z,2321.41
2024-08-05T10:00:00.000Z,2277.41
2024-08-05T11:00:00.000Z,2259.23
2024-08-05T12:00:00.000Z,2265.32
2024-08-05T13:00:00.000Z,2254.57
2024-08-05T14:00:00.000Z,2383.88
2024-08-05T15:00:00.000Z,2423.61
2024-08-05T16:00:00.000Z,2477.86
2024-08-05T17:00:00.000Z,2463.77
2024-08-05T18:00:00.000Z,2437.96
2024-08-05T19:00:00.000Z,2391.83
2024-08-05T20:00:00.000Z,2422.74
2024-08-05T21:00:00.000Z,2443.03
2024-08-05T22:00:00.000Z,2448.86
2024-08-05T23:00:00.000Z,2448.71
2024-08-06T00:00:00.000Z,2488.24
2024-08-06T01:00:00.000Z,2528.52
2024-08-06T02:00:00.000Z,2514.2
2024-08-06T03:00:00.000Z,2500.35
2024-08-06T04:00:00.000Z,2493.98
2024-08-06T05:00:00.000Z,2505.91
2024-08-06T06:00:00.000Z,2523.39
2024-08-06T07:00:00.000Z,2513.46
2024-08-06T08:00:00.000Z,2493.4
2024-08-06T09:00:00.000Z,2459.16
2024-08-06T10:00:00.000Z,2461.73
2024-08-06T11:00:00.000Z,2458.88
2024-08-06T12:00:00.000Z,2458.41
2024-08-06T13:00:00.000Z,2443.73
2024-08-06T14:00:00.000Z,2519.78
2024-08-06T15:00:00.000Z,2518.19
2024-08-06T16:00:00.000Z,2527.13
2024-08-06T17:00:00.000Z,2524.47
2024-08-06T18:00:00.000Z,2501.08
2024-08-06T19:00:00.000Z,2499.09
2024-08-06T20:00:00.000Z,2490.78
2024-08-06T21:00:00.000Z,2489.1
2024-08-06T22:00:00.000Z,2489.74
2024-08-06T23:00:00.000Z,2472.56
2024-08-07T00:00:00.000Z,2459.72
2024-08-07T01:00:00.000Z,2465.04
2024-08-07T02:00:00.000Z,2501.52
2024-08-07T03:00:00.000Z,2503.14
2024-08-07T04:00:00.000Z,2519.38
2024-08-07T05:00:00.000Z,2520.42
2024-08-07T06:00:00.000Z,2505.73
2024-08-07T07:00:00.000Z,2504.05
2024-08-07T08:00:00.000Z,2515.23
2024-08-07T09:00:00.000Z,2526.21
2024-08-07T10:00:00.000Z,2528.08
2024-08-07T11:00:00.000Z,2496.04
2024-08-07T12:00:00.000Z,2473.28
2024-08-07T13:00:00.000Z,2464.5
2024-08-07T14:00:00.000Z,2417.87
2024-08-07T15:00:00.000Z,2397.25
2024-08-07T16:00:00.000Z,2398.95
2024-08-07T17:00:00.000Z,2384.56
2024-08-07T18:00:00.000Z,2360.21
2024-08-07T19:00:00.000Z,2354.47
2024-08-07T20:00:00.000Z,2349.77
2024-08-07T21:00:00.000Z,2352.54
2024-08-07T22:00:00.000Z,2347.64
2024-08-07T23:00:00.000Z,2355.29
