day,weth,wbtc
2024-05-01T00:00:00.000Z,3020.74,60821.09
2024-05-02T00:00:00.000Z,3011.72,59427.55
2024-05-03T00:00:00.000Z,3117.94,63052.68
2024-05-04T00:00:00.000Z,3158.56,64256.56
2024-05-05T00:00:00.000Z,3162.51,64455.43
2024-05-06T00:00:00.000Z,3215.42,65292.7
2024-05-07T00:00:00.000Z,3124.83,64253.13
2024-05-08T00:00:00.000Z,3036.34,62839.02
2024-05-09T00:00:00.000Z,3055.78,63197.98
2024-05-10T00:00:00.000Z,3049.85,63248.04
2024-05-11T00:00:00.000Z,2934.82,61310.4
2024-05-12T00:00:00.000Z,2947.02,61582.85
2024-05-13T00:00:00.000Z,2988.84,63407.75
2024-05-14T00:00:00.000Z,2957.78,63039.38
2024-05-15T00:00:00.000Z,3035.97,66293.57
2024-05-16T00:00:00.000Z,3039.66,66481.73
2024-05-17T00:00:00.000Z,3113.6,67245.73
2024-05-18T00:00:00.000Z,3142.2,67329.97
2024-05-19T00:00:00.000Z,3133.87,67500.85
2024-05-20T00:00:00.000Z,3671.23,71385.37
2024-05-21T00:00:00.000Z,3816.11,71566.69
2024-05-22T00:00:00.000Z,3803.55,70704.99
2024-05-23T00:00:00.000Z,3933.2,70273.16
2024-05-24T00:00:00.000Z,3823.71,69253.25
2024-05-25T00:00:00.000Z,3770.43,69548.81
2024-05-26T00:00:00.000Z,3870.85,69524.49
2024-05-27T00:00:00.000Z,3970.56,70598.79
2024-05-28T00:00:00.000Z,3913.39,69502.66
2024-05-29T00:00:00.000Z,3878.14,68892.25
2024-05-30T00:00:00.000Z,3819.79,69368.42
2024-05-31T00:00:00.000Z,3835.38,68860.82
2024-06-01T00:00:00.000Z,3824.52,67891.78
2024-06-02T00:00:00.000Z,3835.08,68239.75
2024-06-03T00:00:00.000Z,3840.57,69953.23
2024-06-04T00:00:00.000Z,3826.6,70922.11
2024-06-05T00:00:00.000Z,3880.17,71745.05
2024-06-06T00:00:00.000Z,3875.12,71592.41
2024-06-07T00:00:00.000Z,3836.7,71803.34
2024-06-08T00:00:00.000Z,3707.44,69587.55
2024-06-09T00:00:00.000Z,3717.79,69837.69
2024-06-10T00:00:00.000Z,3712.22,70104.59
2024-06-11T00:00:00.000Z,3673.55,69585.48
2024-06-12T00:00:00.000Z,3648.31,69910.01
2024-06-13T00:00:00.000Z,3563.87,68450.1
2024-06-14T00:00:00.000Z,3526.94,67251.96
2024-06-15T00:00:00.000Z,3587.3,66567.26
2024-06-16T00:00:00.000Z,3641.43,67075.55
2024-06-17T00:00:00.000Z,3635.4,67074.62
2024-06-18T00:00:00.000Z,3515.04,66607.35
2024-06-19T00:00:00.000Z,3581.6,65787.58
2024-06-20T00:00:00.000Z,3617.34,66387.21
2024-06-21T00:00:00.000Z,3540.03,65029.61
2024-06-22T00:00:00.000Z,3521.15,64490.59
2024-06-23T00:00:00.000Z,3521.12,64756.07
2024-06-24T00:00:00.000Z,3436.61,63413.75
2024-06-25T00:00:00.000Z,3421.76,62216.02
2024-06-26T00:00:00.000Z,3421.23,62450.6
2024-06-27T00:00:00.000Z,3467.21,62332.51
2024-06-28T00:00:00.000Z,3477.32,62143.16
2024-06-29T00:00:00.000Z,3403.1,61262.06
2024-06-30T00:00:00.000Z,3446.68,62777.87
2024-07-01T00:00:00.000Z,3509.46,63696.79
2024-07-02T00:00:00.000Z,3459.68,63181.95
2024-07-03T00:00:00.000Z,3428.57,62283.72
2024-07-04T00:00:00.000Z,3310.16,60454.72
2024-07-05T00:00:00.000Z,3105.41,57447.32
2024-07-06T00:00:00.000Z,3080.54,58482.47
2024-07-07T00:00:00.000Z,3072.51,58409.01
2024-07-08T00:00:00.000Z,3068.1,57828.3
2024-07-09T00:00:00.000Z,3100.55,58215
2024-07-10T00:00:00.000Z,3145.86,59350.1
2024-07-11T00:00:00.000Z,3192.13,59194.4
2024-07-12T00:00:00.000Z,3150.66,58499.9
2024-07-13T00:00:00.000Z,3197.53,59653.35
2024-07-14T00:00:00.000Z,3267.35,61199.15
2024-07-15T00:00:00.000Z,3487.01,64826.95
2024-07-16T00:00:00.000Z,3492.31,65212.37
2024-07-17T00:00:00.000Z,3509.74,65907.16
2024-07-18T00:00:00.000Z,3487.03,65224.18
2024-07-19T00:00:00.000Z,3534.56,67277.33
2024-07-20T00:00:00.000Z,3538.23,67578.06
2024-07-21T00:00:00.000Z,3541.63,68253.34
2024-07-22T00:00:00.000Z,3553.76,68376.75
2024-07-23T00:00:00.000Z,3534.23,67736.05
2024-07-24T00:00:00.000Z,3485.96,66917.8
2024-07-25T00:00:00.000Z,3341.18,65988.41
2024-07-26T00:00:00.000Z,3283.63,68145.51
2024-07-27T00:00:00.000Z,3320.73,69282.01
2024-07-28T00:00:00.000Z,3280.89,68278.45
2024-07-29T00:00:00.000Z,3392.84,69855.94
2024-07-30T00:00:00.000Z,3358.25,67069.78
2024-07-31T00:00:00.000Z,3349.18,66859.99
2024-08-01T00:00:00.000Z,3241.13,65495.52
2024-08-02T00:00:00.000Z,3215.92,65559.25
2024-08-03T00:00:00.000Z,3014.31,62204.93
2024-08-04T00:00:00.000Z,2926.56,61100.83
2024-08-05T00:00:00.000Z,2695.83,58334.88
2024-08-06T00:00:00.000Z,2543.87,56907.17
2024-08-07T00:00:00.000Z,2538.57,57573.85
